ID,Revenu,Souscription_web,Residence,Anciennete_proprietaire,Anciennete_emploi,Nombre_cartes,Passif_carte,Nombre_prets_accordes
100126,50302,Oui,Location,20,9,2,455,0
100127,44095,Oui,Location,13,4,1,368,0
100128,45153,Non,Location,2,13,2,804,1
100129,43820,Non,Propriétaire,3,3,2,230,0
100130,43633,Oui,Locataire gratuit,14,16,1,6100,0
100131,43976,Non,Locataire gratuit,18,12,2,745,0
100132,43835,Oui,Propriétaire,3,1,2,1501,1
100133,45621,Oui,Location,1,19,1,1878,0
100134,45849,Non,Location,13,9,2,364,1
100135,43408,Oui,Propriétaire,10,4,2,1106,0
100136,44394,Non,Propriétaire,20,17,1,2041,0
100137,43982,Oui,Propriétaire,13,11,2,1055,0
100138,44936,Oui,Propriétaire,1,22,1,4502,0
100139,57004,Oui,Location,14,31,1,3561,0
100140,52545,Oui,Propriétaire,25,14,1,1125,0
100141,48061,Oui,Location,3,5,2,296,0
100142,50075,Oui,Location,4,18,2,3768,0
100143,43303,Oui,Propriétaire,2,7,2,866,1
100144,45159,Non,Propriétaire,6,12,1,2310,0
100145,48931,Oui,Propriétaire,11,19,2,652,0
100146,44363,Oui,Propriétaire,5,19,1,1609,1
100147,44413,Oui,Location,13,16,2,885,0
100148,49988,Oui,Location,14,21,2,2660,0
100149,45450,Oui,Propriétaire,15,24,1,4217,0
100150,45081,Non,Propriétaire,14,15,2,713,1
100151,47470,Non,Location,9,12,1,2111,0
100152,44272,Oui,Propriétaire,12,20,1,645,1
100153,44460,Oui,Propriétaire,4,16,1,3467,1
100154,43707,Oui,Propriétaire,8,9,1,1131,0
100155,45419,Oui,Propriétaire,1,2,2,231,0
100156,45721,Oui,Propriétaire,3,14,1,294,1
100157,45103,Non,Propriétaire,21,14,1,2327,1
100158,55112,Oui,Autre,10,14,2,4113,1
100159,46823,Oui,Propriétaire,22,2,1,94,1
100160,56590,Oui,Propriétaire,27,8,2,332,0
100161,57683,Oui,Propriétaire,14,24,1,3275,1
100162,55752,Oui,Propriétaire,5,11,2,2048,1
100163,46168,Oui,Location,0,6,1,3762,1
100164,55565,Non,Location,23,0,2,2219,0
100165,50076,Oui,Propriétaire,0,17,1,460,1
100166,45750,Oui,Propriétaire,13,13,1,1930,1
100167,45904,Oui,Propriétaire,22,7,1,60,0
100168,44477,Non,Propriétaire,19,15,1,351,0
100169,45841,Non,Propriétaire,11,12,2,4159,0
100170,44010,Oui,Propriétaire,4,7,2,542,1
100171,44378,Oui,Location,9,18,2,306,0
100172,45246,Non,Location,6,5,1,737,1
100173,45266,Non,Location,3,5,1,6805,0
100174,43362,Oui,Location,15,4,2,434,1
100175,59393,Non,Location,34,18,2,2746,0
100176,56523,Oui,Location,20,10,1,2066,0
100177,55390,Non,Propriétaire,23,3,1,812,0
100178,50445,Oui,Location,10,8,1,237,1
100179,49529,Oui,Location,9,10,1,342,0
100180,47161,Oui,Propriétaire,0,13,2,1096,1
100181,47019,Non,Propriétaire,11,21,1,1138,1
100182,53731,Non,Propriétaire,26,16,2,13160,1
100183,43514,Oui,Location,17,0,2,274,0
100184,52495,Non,Location,18,16,2,2527,1
100185,45537,Oui,Location,22,21,2,2698,1
100186,55215,Oui,Propriétaire,1,6,2,1930,0
100187,44892,Oui,Propriétaire,12,2,2,3337,0
100188,52173,Oui,Location,4,22,2,689,0
100189,49407,Non,Location,23,13,2,1793,0
100190,49415,Oui,Location,17,11,1,150,0
100191,43622,Oui,Location,8,18,1,3828,1
100192,44298,Non,Location,16,19,2,763,0
100193,45463,Oui,Propriétaire,2,23,2,478,1
100194,44705,Oui,Propriétaire,0,8,1,230,0
100195,50621,Non,Propriétaire,24,22,2,1047,0
100196,49600,Oui,Propriétaire,5,9,2,3366,1
100197,48599,Oui,Location,16,25,1,1363,1
100198,43677,Oui,Propriétaire,16,9,1,740,0
100199,45993,Non,Propriétaire,6,7,2,311,0
100200,52887,Oui,Location,10,9,2,1339,0
100201,44671,Oui,Location,16,9,2,3971,1
100202,50199,Oui,Propriétaire,5,12,1,1230,0
100203,54671,Oui,Location,25,28,2,3612,0
100204,53180,Oui,Propriétaire,9,31,2,11860,0
100205,43120,Oui,Locataire gratuit,4,10,1,801,1
100206,44039,Oui,Propriétaire,17,6,2,109,1
100207,43293,Non,Location,16,7,1,2207,1
100208,44534,Non,Propriétaire,9,13,2,805,0
100209,43739,Non,Propriétaire,3,7,1,2247,1
100210,43648,Non,Propriétaire,14,12,1,2496,1
100211,45283,Non,Locataire gratuit,15,3,1,1460,1
100212,59276,Oui,Propriétaire,20,21,2,8000,1
100213,49850,Oui,Propriétaire,5,1,2,1265,1
100214,47568,Oui,Location,5,11,2,2391,1
100215,50833,Oui,Locataire gratuit,21,16,1,760,1
100216,50631,Oui,Propriétaire,26,21,2,2132,0
100217,57520,Oui,Propriétaire,25,19,1,890,0
100218,59179,Oui,Propriétaire,29,5,1,5780,1
100219,59692,Non,Propriétaire,11,3,1,469,0
100220,56470,Oui,Location,31,15,2,390,0
100221,51859,Oui,Location,19,2,2,369,1
100222,54777,Oui,Locataire gratuit,26,17,2,2814,1
100223,44597,Oui,Propriétaire,10,12,2,468,0
100224,44728,Oui,Location,2,7,2,847,0
100225,45584,Non,Location,2,19,1,1256,0
100226,44582,Non,Propriétaire,1,13,1,1581,1
100227,44270,Oui,Propriétaire,3,22,2,962,1
100228,45549,Non,Propriétaire,2,21,1,5791,0
100229,45712,Oui,Propriétaire,14,15,2,2216,0
100230,45654,Oui,Location,6,18,2,5471,0
100231,44898,Non,Propriétaire,4,22,1,527,0
100232,48414,Non,Location,9,0,2,232,0
100233,53307,Oui,Propriétaire,8,27,2,1984,1
100234,58878,Non,Location,18,9,1,1680,0
100235,43977,Oui,Locataire gratuit,14,12,1,4763,1
100236,51561,Non,Locataire gratuit,17,5,2,3010,0
100237,58785,Non,Location,31,16,2,1111,0
100238,55140,Non,Propriétaire,20,13,2,5095,0
100239,46501,Oui,Location,5,5,2,327,1
100240,70000,Oui,Location,12,25,1,12164,0
100241,45368,Non,Propriétaire,4,2,2,711,1
100242,43651,Oui,Location,4,11,2,527,1
100243,71000,Oui,Location,24,10,1,563,1
100244,72000,Non,Location,21,0,1,83,1
100245,73000,Oui,Location,1,6,1,104,0
100246,74000,Oui,Location,9,4,2,1038,1
100247,45217,Non,Propriétaire,17,8,2,445,1
100248,45240,Non,Location,12,5,2,1320,1
100249,75000,Oui,Location,12,9,1,1192,1
100250,76000,Oui,Location,18,10,1,2518,0
100251,45390,Oui,Propriétaire,3,2,2,154,0
100252,77000,Non,Location,12,5,2,608,1
100253,57598,Oui,Locataire gratuit,25,16,1,2171,1
100254,78000,Non,Location,5,2,1,382,0
100255,57623,Oui,Propriétaire,1,10,1,4133,1
100256,79000,Non,Location,0,10,1,679,1
100257,80000,Oui,Location,23,22,1,3450,0
100258,49789,Oui,Propriétaire,2,4,2,44,0
100259,81000,Oui,Location,12,7,2,1358,1
100260,82000,Non,Location,2,3,1,461,1
100261,44005,Oui,Propriétaire,16,8,2,25,1
100262,83000,Oui,Location,15,19,2,7995,1
100263,43185,Non,Propriétaire,0,8,1,20,0
100264,84000,Oui,Locataire gratuit,11,17,1,2134,1
100265,85000,Oui,Propriétaire,13,3,2,341,1
100266,45194,Non,Propriétaire,15,10,2,1678,1
100267,43876,Oui,Propriétaire,13,0,2,98,1
100268,86000,Oui,Propriétaire,20,16,2,1299,1
100269,87000,Non,Locataire gratuit,11,23,1,544,1
100270,88000,Oui,Propriétaire,0,17,2,2031,1
100271,53660,Oui,Propriétaire,23,17,1,380,1
100272,59944,Oui,Propriétaire,20,11,2,3894,0
100273,54451,Oui,Propriétaire,14,30,1,3312,1
100274,89000,Non,Autre,11,7,1,1562,1
100275,90000,Non,Autre,8,15,1,2003,0
100276,43794,Oui,Propriétaire,9,6,2,1430,0
100277,91000,Non,Location,15,1,1,1147,0
100278,45452,Oui,Propriétaire,12,24,1,5490,1
100279,44787,Oui,Propriétaire,9,4,2,982,0
100280,51498,Oui,Propriétaire,26,9,1,589,1
100281,92000,Oui,Location,21,27,2,684,1
100282,93000,Oui,Location,15,3,1,88,1
100283,52772,Oui,Propriétaire,23,9,2,1348,1
100284,58529,Oui,Propriétaire,0,9,1,1108,0
100285,53983,Oui,Propriétaire,1,9,2,2117,0
100286,94000,Oui,Location,9,20,2,3195,1
100287,95000,Non,Location,2,20,1,452,0
100288,96000,Non,Location,9,22,1,823,1
100289,43823,Non,Propriétaire,14,1,2,2245,1
100290,43151,Non,Propriétaire,6,9,1,681,1
100291,97000,Oui,Location,5,5,1,1250,0
100292,44230,Oui,Propriétaire,9,22,2,3106,0
100293,98000,Oui,Location,5,23,1,466,0
100294,99000,Oui,Location,21,17,2,490,1
100295,53842,Oui,Propriétaire,25,13,2,3115,0
100296,58381,Oui,Location,16,12,1,829,0
100297,51385,Oui,Propriétaire,14,10,1,777,0
100298,100000,Oui,Location,1,14,2,1001,1
100299,49866,Non,Propriétaire,10,24,1,2493,0
100300,48607,Oui,Propriétaire,19,23,2,985,1
100301,43593,Oui,Propriétaire,13,0,1,2315,0
100302,44202,Oui,Propriétaire,8,0,2,748,0
100303,45715,Oui,Propriétaire,8,14,2,772,1
100304,44974,Oui,Locataire gratuit,14,18,2,2772,0
100305,52725,Oui,Location,26,9,2,12,0
100306,101000,Oui,Locataire gratuit,17,5,2,1171,0
100307,43650,Oui,Locataire gratuit,8,12,1,267,0
100308,102000,Non,Propriétaire,16,15,2,116,0
100309,51383,Non,Propriétaire,19,12,2,1119,1
100310,103000,Oui,Logement social,0,15,2,397,0
100311,104000,Oui,Location,19,8,1,732,0
100312,105000,Oui,Propriétaire,8,0,2,888,1
100313,106000,Non,Propriétaire,10,13,1,59,0
100314,55554,Oui,Locataire gratuit,27,0,1,708,0
100315,43908,Non,Locataire gratuit,18,15,1,4242,0
100316,107000,Oui,Propriétaire,25,16,2,1555,1
100317,108000,Oui,Propriétaire,13,5,2,375,0
100318,44193,Oui,Locataire gratuit,18,3,1,260,0
100319,45115,Oui,Location,11,13,2,5189,1
100320,58505,Oui,Propriétaire,11,9,2,668,0
100321,109000,Non,Locataire gratuit,19,0,1,25,1
100322,49008,Oui,Location,10,16,2,216,0
100323,54013,Oui,Location,9,4,1,996,0
100324,110000,Oui,Propriétaire,19,6,2,1655,1
100325,54603,Non,Propriétaire,8,30,2,1562,1
100326,48511,Non,Propriétaire,21,25,1,793,0
100327,111000,Oui,Propriétaire,7,6,1,495,1
100328,44997,Non,Locataire gratuit,6,18,1,1238,1
100329,112000,Non,Location,4,10,2,154,1
100330,43482,Oui,Propriétaire,4,1,1,361,1
100331,43989,Oui,Propriétaire,8,10,1,30,1
100332,56891,Non,Propriétaire,26,1,1,1543,1
100333,113000,Oui,Location,17,13,1,6156,0
100334,114000,Oui,Location,1,15,1,1844,1
100335,115000,Oui,Location,14,15,2,1292,1
100336,56486,Oui,Propriétaire,5,11,1,696,1
100337,49007,Non,Autre,14,18,1,13360,0
100338,116000,Oui,Location,16,15,1,860,1
100339,44202,Non,Propriétaire,1,23,2,2611,0
100340,43890,Oui,Propriétaire,19,18,2,505,1
100341,53201,Non,Propriétaire,18,29,1,17134,0
100342,54673,Oui,Propriétaire,15,22,2,3086,1
100343,117000,Non,Location,25,19,1,331,1
100344,118000,Oui,Location,21,8,2,71,1
100345,47026,Non,Location,23,18,2,1368,0
100346,46645,Non,Propriétaire,19,4,1,884,0
100347,45970,Non,Propriétaire,11,7,1,579,0
100348,119000,Non,Location,17,7,1,3865,0
100349,45659,Oui,Locataire gratuit,12,17,1,9466,1
100350,43761,Non,Propriétaire,10,6,1,1418,0
100351,46785,Oui,Location,14,4,1,1227,1
100352,120000,Oui,Propriétaire,21,26,1,3819,0
100353,121000,Non,Propriétaire,11,3,2,1169,0
100354,47734,Oui,Logement social,23,6,2,2631,1
100355,122000,Oui,Location,1,11,2,453,0
100356,44095,Oui,Location,13,4,1,368,0
100357,123000,Non,Propriétaire,2,13,2,804,1
100358,124000,Oui,Propriétaire,1,19,1,1878,0
100359,43408,Oui,Propriétaire,10,4,2,1106,0
100360,57004,Oui,Location,14,31,1,3561,0
100361,45159,Non,Propriétaire,6,12,1,2310,0
100362,48931,Oui,Propriétaire,11,19,2,652,0
100363,45081,Non,Propriétaire,14,15,2,713,1
100364,125000,Oui,Propriétaire,4,16,1,3467,1
100365,43707,Oui,Propriétaire,8,9,1,1131,0
100366,45721,Oui,Autre,3,14,1,294,1
100367,126000,Non,Propriétaire,23,0,2,2219,0
100368,45750,Oui,Locataire gratuit,13,13,1,1930,1
100369,44477,Non,Location,19,15,1,351,0
100370,127000,Non,Location,3,5,1,6805,0
100371,55390,Non,Autre,23,3,1,812,0
100372,128000,Oui,Location,10,8,1,237,1
100373,129000,Oui,Location,17,0,2,274,0
100374,130000,Non,Location,18,16,2,2527,1
100375,45537,Oui,Location,22,21,2,2698,1
100376,44892,Oui,Location,12,2,2,3337,0
100377,43677,Oui,Logement social,16,9,1,740,0
100378,52887,Oui,Location,10,9,2,1339,0
100379,44671,Oui,Location,16,9,2,3971,1
100380,44039,Oui,Location,17,6,2,109,1
100381,49850,Oui,Autre,5,1,2,1265,1
100382,50631,Oui,Location,26,21,2,2132,0
100383,56470,Oui,Location,31,15,2,390,0
100384,54777,Oui,Locataire gratuit,26,17,2,2814,1
100385,44597,Oui,Propriétaire,10,12,2,468,0
100386,44270,Oui,Propriétaire,3,22,2,962,1
100387,45712,Oui,Propriétaire,14,15,2,2216,0
100388,53307,Oui,Propriétaire,8,27,2,1984,1
100389,43977,Oui,Locataire gratuit,14,12,1,4763,1
100390,58785,Non,Location,31,16,2,1111,0
100391,55140,Non,Propriétaire,20,13,2,5095,0
100392,46501,Oui,Location,5,5,2,327,1
100393,45368,Non,Propriétaire,4,2,2,711,1
100394,43651,Oui,Location,4,11,2,527,1
100395,46119,Oui,Location,1,6,1,104,0
100396,45217,Non,Propriétaire,17,8,2,445,1
100397,44682,Oui,Location,12,9,1,1192,1
100398,45390,Oui,Propriétaire,3,2,2,154,0
100399,57388,Oui,Location,23,22,1,3450,0
100400,49789,Oui,Propriétaire,2,4,2,44,0
100401,47623,Oui,Propriétaire,12,7,2,1358,1
100402,44306,Oui,Propriétaire,15,19,2,7995,1
100403,43185,Non,Autre,0,8,1,20,0
100404,45194,Non,Propriétaire,15,10,2,1678,1
100405,43876,Oui,Location,13,0,2,98,1
100406,53550,Non,Locataire gratuit,11,23,1,544,1
100407,50816,Oui,Propriétaire,0,17,2,2031,1
100408,59944,Oui,Propriétaire,20,11,2,3894,0
100409,54451,Oui,Location,14,30,1,3312,1
100410,43794,Oui,Location,9,6,2,1430,0
100411,45452,Oui,Location,12,24,1,5490,1
100412,44787,Oui,Location,9,4,2,982,0
100413,53983,Oui,Location,1,9,2,2117,0
100414,44261,Non,Propriétaire,9,22,1,823,1
100415,43151,Non,Location,6,9,1,681,1
100416,50552,Oui,Propriétaire,5,23,1,466,0
100417,51385,Oui,Location,14,10,1,777,0
100418,47111,Oui,Location,1,14,2,1001,1
100419,48607,Oui,Location,19,23,2,985,1
100420,43593,Oui,Propriétaire,13,0,1,2315,0
100421,45706,Oui,Location,17,16,2,373,1
100422,44756,Oui,Propriétaire,19,6,1,2117,1
100423,44202,Oui,Propriétaire,8,0,2,748,0
100424,45715,Oui,Propriétaire,8,14,2,772,1
100425,43800,Oui,Propriétaire,0,4,2,725,0
100426,45049,Oui,Propriétaire,6,16,2,1345,1
100427,44974,Oui,Propriétaire,14,18,2,2772,0
100428,44956,Non,Location,21,21,2,806,1
100429,56087,Non,Propriétaire,27,18,1,4818,1
100430,48336,Non,Location,16,2,2,1227,0
100431,55642,Oui,Propriétaire,4,22,2,240,0
100432,52725,Oui,Propriétaire,26,9,2,12,0
100433,43795,Oui,Location,17,5,2,1171,0
100434,43650,Oui,Propriétaire,8,12,1,267,0
100435,43972,Oui,Location,0,13,1,340,1
100436,43330,Oui,Propriétaire,9,6,1,25,1
100437,59193,Oui,Propriétaire,26,0,2,2295,1
100438,44483,Non,Location,16,15,2,116,0
100439,43185,Oui,Propriétaire,1,9,2,1646,0
100440,50295,Non,Propriétaire,3,12,1,298,0
100441,46955,Non,Location,16,1,2,201,1
100442,51383,Non,Propriétaire,19,12,2,1119,1
100443,52540,Oui,Location,0,15,2,397,0
100444,55897,Non,Propriétaire,13,2,2,315,0
100445,44781,Oui,Propriétaire,15,4,1,331,0
100446,45217,Oui,Location,19,8,1,732,0
100447,44895,Oui,Location,8,0,2,888,1
100448,45209,Oui,Location,4,9,2,658,0
100449,45813,Non,Location,10,13,1,59,0
100450,43202,Oui,Propriétaire,17,7,1,1412,1
100451,45687,Oui,Propriétaire,22,16,2,1064,1
100452,49745,Non,Propriétaire,24,6,1,518,1
100453,53552,Oui,Location,19,22,2,1255,1
100454,52118,Oui,Location,17,22,2,2771,1
100455,55554,Oui,Propriétaire,27,0,1,708,0
100456,54792,Oui,Location,22,17,1,1223,0
100457,52973,Non,Location,13,3,1,2535,0
100458,52961,Oui,Location,17,4,1,1853,1
100459,43908,Non,Propriétaire,18,15,1,4242,0
100460,57718,Oui,Propriétaire,25,16,2,1555,1
100461,44052,Oui,Propriétaire,13,5,2,375,0
100462,44613,Non,Locataire gratuit,17,11,2,2134,0
100463,44193,Oui,Propriétaire,18,3,1,260,0
100464,45115,Oui,Propriétaire,11,13,2,5189,1
100465,43645,Oui,Propriétaire,5,13,2,502,0
100466,43474,Oui,Propriétaire,17,1,1,270,1
100467,43322,Oui,Propriétaire,15,6,2,218,1
100468,49678,Oui,Propriétaire,11,8,2,564,0
100469,56849,Oui,Propriétaire,4,4,1,117,1
100470,50808,Non,Location,19,18,2,457,0
100471,58505,Oui,Propriétaire,11,9,2,668,0
100472,51945,Non,Locataire gratuit,19,0,1,25,1
100473,49075,Non,Propriétaire,7,16,2,133,0
100474,56087,Oui,Location,14,16,2,1386,1
100475,53115,Oui,Propriétaire,12,1,2,674,0
100476,49008,Oui,Location,10,16,2,216,0
100477,54013,Oui,Location,9,4,1,996,0
100478,53195,Non,Propriétaire,8,31,2,7757,1
100479,52896,Oui,Propriétaire,19,6,2,1655,1
100480,54603,Non,Propriétaire,8,30,2,1562,1
100481,48511,Non,Propriétaire,21,25,1,793,0
100482,59036,Oui,Propriétaire,7,6,1,495,1
100483,53559,Oui,Propriétaire,7,19,2,2646,0
100484,44997,Non,Locataire gratuit,6,18,1,1238,1
100485,44442,Oui,Location,12,16,1,578,0
100486,44187,Oui,Propriétaire,19,3,1,693,0
100487,44617,Non,Location,4,10,2,154,1
100488,44684,Oui,Propriétaire,6,9,1,194,1
100489,44831,Oui,Location,15,2,1,1597,1
100490,43482,Oui,Propriétaire,4,1,1,361,1
100491,43989,Oui,Propriétaire,8,10,1,30,1
100492,43957,Non,Propriétaire,18,13,2,286,1
100493,47833,Oui,Propriétaire,9,6,1,854,0
100494,56891,Non,Propriétaire,26,1,1,1543,1
100495,58026,Oui,Location,17,13,1,6156,0
100496,53791,Oui,Location,1,15,1,1844,1
100497,59463,Non,Propriétaire,2,9,2,1298,1
100498,44159,Oui,Location,6,4,1,1110,0
100499,59508,Oui,Propriétaire,2,19,1,3671,1
100500,51219,Oui,Location,14,15,2,1292,1
100501,56486,Oui,Propriétaire,5,11,1,696,1
100502,47623,Non,Propriétaire,23,7,1,784,1
100503,49007,Non,Propriétaire,14,18,1,13360,0
100504,43895,Oui,Propriétaire,7,18,1,446,1
100505,55497,Oui,Location,7,3,1,637,1
100506,45066,Oui,Location,16,15,1,860,1
100507,44202,Non,Propriétaire,1,23,2,2611,0
100508,45518,Oui,Propriétaire,17,22,1,8231,1
100509,43890,Oui,Propriétaire,19,18,2,505,1
100510,44772,Oui,Propriétaire,9,6,1,469,0
100511,44271,Oui,Location,17,20,1,284,1
100512,43874,Non,Location,18,0,2,1320,1
100513,43888,Oui,Location,16,21,1,3820,1
100514,44194,Oui,Location,16,2,2,1007,1
100515,53201,Non,Propriétaire,18,29,1,17134,0
100516,45238,Oui,Location,9,6,2,326,1
100517,54673,Oui,Propriétaire,15,22,2,3086,1
100518,46949,Oui,Propriétaire,0,2,2,1634,1
100519,57689,Non,Location,25,19,1,331,1
100520,45869,Oui,Location,21,8,2,71,1
100521,43799,Oui,Propriétaire,11,4,1,145,0
100522,47026,Non,Propriétaire,23,18,2,1368,0
100523,46645,Non,Propriétaire,19,4,1,884,0
100524,44048,Non,Propriétaire,0,6,1,222,0
100525,45970,Non,Propriétaire,11,7,1,579,0
100526,45949,Non,Location,17,7,1,3865,0
100527,45659,Oui,Propriétaire,12,17,1,9466,1
100528,43750,Non,Propriétaire,13,6,1,988,1
100529,44318,Oui,Propriétaire,8,19,1,2096,0
100530,43761,Non,Propriétaire,10,6,1,1418,0
100531,45673,Oui,Propriétaire,22,16,1,359,0
100532,54938,Non,Propriétaire,5,15,2,268,0
100533,49409,Oui,Propriétaire,11,12,2,107,1
100534,54021,Oui,Location,2,4,1,101,1
100535,48084,Oui,Location,10,3,2,555,1
100536,50799,Oui,Location,22,19,2,1919,0
100537,46785,Oui,Location,14,4,1,1227,1
100538,53365,Oui,Location,21,26,1,3819,0
100539,50515,Non,Location,3,5,1,1642,1
100540,55421,Non,Location,11,3,2,1169,0
