ID,Montant_du_pret,Prix_de_Vente,Localisation
100234,61650,260000,100
100235,111450,330000,120
100236,166300,359850,100
100237,74150,275000,130
100238,85400,545000,100
100239,90700,325000,100
100240,147950,545000,100
100241,103400,325000,100
100242,60900,265000,100
100243,44550,250000,100
100244,40700,498500,100
100245,114700,145000,100
100246,90100,280000,110
100247,114550,315000,120
100248,58400,368000,101
100249,73200,475000,110
100250,125000,325000,100
100251,117100,242500,110
100252,117200,200000,120
100253,51400,207000,100
100254,110900,105000,101
100255,109950,105000,101
100256,104200,105000,101
100257,53650,105000,101
100258,93400,200000,100
100259,73650,275000,130
100260,76650,305000,130
100261,69200,179000,130
100262,132200,275000,130
100263,94200,305000,130
100264,92850,370000,110
100265,40650,290000,130
100266,129150,273000,120
100267,53300,252500,100
100268,87500,290000,100
100269,72600,250000,120
100270,80750,300000,130
100271,79450,378000,100
100272,98800,750000,110
100273,94400,150000,100
100274,94900,260000,100
100275,109150,390000,100
100276,90200,143000,101
100277,75900,215000,100
100278,100400,328000,100
100279,81750,295000,100
100280,101500,295000,100
100281,98450,540000,110
100282,71500,140000,101
100283,83400,285000,100
100284,117750,275000,100
100285,95850,319000,100
100286,108250,211000,130
100287,76100,410000,100
100288,80100,323600,100
100289,97950,175000,130
100290,72900,320000,110
100291,105900,275000,100
100292,5400,350000,100
100293,68800,380000,110
100294,28250,425000,100
100295,61500,625000,100
100296,117500,455000,100
100297,74300,260000,101
100298,105100,425000,110
100299,93400,2095000,101
100300,44150,170000,100
100301,128200,180000,130
100302,104550,170000,100
100303,129850,137000,100
100304,95150,264000,130
100305,44150,98000,100
100306,112850,153000,100
100307,78000,355000,100
100308,75350,245000,130
100309,79550,222500,101
100310,82500,215000,120
100311,58600,240000,120
100312,89150,310000,100
100313,73850,103000,101
100314,86150,235000,100
100315,79150,190000,100
100316,62850,155000,130
100317,93050,235000,100
100318,66050,284500,120
100319,169350,164000,101
100320,53700,150000,100
100321,74800,290000,110
100322,109100,145000,130
100323,111050,156000,100
100324,89750,260000,110
100325,77600,150000,100
100326,95500,260000,120
100327,89150,193000,101
100328,80700,176000,100
100329,9250,275000,100
100330,83750,499250,100
100331,58050,410000,101
100332,55450,570000,100
100333,159050,153000,100
100334,118550,173900,100
100335,70050,165000,111
100336,42400,110000,100
100337,243750,200000,100
100338,66050,255000,100
100339,129150,162000,101
100340,69600,348500,100
100341,162750,197307,100
100342,118750,180000,100
100343,99150,315000,100
100344,92400,325000,100
100345,69550,145000,130
100346,60450,475000,110
100347,92800,132000,100
100348,130100,149000,100
100349,170500,340000,100
100350,112450,192500,100
100351,65100,300000,100
100352,102500,230000,100
100353,107150,245000,130
100354,143550,150000,100
100355,62150,285000,100
100356,87300,285000,100
100357,89000,146000,130
100358,92600,195000,100
100359,106050,182500,130
100360,67200,121000,100
100361,120650,190000,100
100362,77950,190000,100
100363,84300,140000,110
100364,92900,192000,100
100365,93650,125000,100
100366,79250,245000,100
100367,118850,440000,110
100368,113550,209000,101
100369,82900,220000,130
100370,213600,550000,100
100371,71800,231000,130
100372,93100,250000,120
100373,34250,250000,130
100374,103750,195000,100
100375,88850,1000000,110
100376,111950,175000,110
100377,109150,190000,100
100378,85600,185000,130
100379,120500,270000,130
100380,65900,235000,120
100381,45350,455000,100
100382,31100,299500,100
100383,70550,240000,110
100384,108950,260000,100
100385,86300,135000,100
100386,78450,200000,111
100387,89100,215000,100
100388,94750,130000,100
100389,111450,330000,120
100390,74150,275000,130
100391,85400,545000,100
100392,90700,325000,100
100393,103400,325000,100
100394,60900,265000,100
100395,114700,145000,100
100396,114550,315000,120
100397,73200,475000,110
100398,117100,242500,110
100399,53650,105000,101
100400,93400,200000,100
100401,73650,275000,130
100402,132200,275000,130
100403,94200,305000,130
100404,129150,273000,120
100405,53300,252500,100
100406,72600,250000,120
100407,80750,300000,130
100408,98800,750000,110
100409,94400,150000,100
100410,90200,143000,101
100411,100400,328000,100
100412,81750,295000,100
100413,95850,319000,100
100414,80100,323600,100
100415,72900,320000,110
100416,68800,380000,110
100417,74300,260000,101
100418,105100,425000,110
100419,44150,170000,100
100420,128200,180000,130
100421,72750,145000,100
100422,107600,145000,110
100423,104550,170000,100
100424,129850,137000,100
100425,73400,259000,100
100426,90850,280000,110
100427,95150,264000,130
100428,81500,170000,100
100429,89100,95000,101
100430,37050,575000,120
100431,59250,349900,130
100432,44150,98000,100
100433,112850,153000,100
100434,78000,355000,100
100435,74100,525000,100
100436,96300,355000,100
100437,73500,525000,100
100438,75350,245000,130
100439,81250,235000,100
100440,61400,950000,110
100441,33800,210000,120
100442,79550,222500,101
100443,82500,215000,120
100444,96900,240000,120
100445,101650,150000,100
100446,58600,240000,120
100447,89150,310000,100
100448,114200,185000,101
100449,73850,103000,101
100450,89250,650000,101
100451,84650,349000,100
100452,59150,170000,120
100453,44300,159900,100
100454,83900,165000,100
100455,86150,235000,100
100456,69150,254500,130
100457,93650,420000,111
100458,119500,125000,130
100459,79150,190000,100
100460,62850,155000,130
100461,93050,235000,100
100462,42150,500000,130
100463,66050,284500,120
100464,169350,164000,101
100465,46000,875000,100
100466,53150,125000,100
100467,69400,325000,100
100468,71950,275000,100
100469,57250,117000,100
100470,77750,125000,101
100471,53700,150000,100
100472,74800,290000,110
100473,49000,149900,101
100474,91000,273500,120
100475,104550,309534,110
100476,109100,145000,130
100477,111050,156000,100
100478,136450,600000,100
100479,89750,260000,110
100480,77600,150000,100
100481,95500,260000,120
100482,89150,193000,101
100483,101050,537500,100
100484,80700,176000,100
100485,76000,300000,100
100486,93100,185000,100
100487,9250,275000,100
100488,39650,1290000,110
100489,87900,161000,100
100490,83750,499250,100
100491,58050,410000,101
100492,78100,350000,110
100493,129200,200000,130
100494,55450,570000,100
100495,159050,153000,100
100496,118550,173900,100
100497,47650,222000,100
100498,77350,210000,100
100499,105950,135000,130
100500,70050,165000,111
100501,42400,110000,100
100502,86300,290000,100
100503,243750,200000,100
100504,90850,400000,110
100505,89800,229500,100
100506,66050,255000,100
100507,129150,162000,101
100508,164850,260000,130
100509,69600,348500,100
100510,79500,1060000,101
100511,61850,200000,130
100512,102950,258000,100
100513,72400,220000,100
100514,85500,565000,120
100515,162750,197307,100
100516,55150,160000,120
100517,118750,180000,100
100518,97200,300000,110
100519,99150,315000,100
100520,92400,325000,100
100521,88100,220000,100
100522,69550,145000,130
100523,60450,475000,110
100524,101550,299000,101
100525,92800,132000,100
100526,130100,149000,100
100527,170500,340000,100
100528,70600,443000,100
100529,92400,150876,100
100530,112450,192500,100
100531,66700,185000,100
100532,82250,235000,130
100533,97450,190000,130
100534,122300,355000,100
100535,105000,265000,100
100536,60200,185000,111
100537,65100,300000,100
100538,102500,230000,100
100539,127250,106300,130
100540,107150,245000,130
100541,143550,150000,100
100542,84500,258000,100
100543,62150,285000,100
100544,123150,330000,100
100545,104900,535000,100
100546,87300,285000,100
100547,89000,146000,130
100548,120950,395000,110
100549,73300,650000,110
100550,51450,350000,100
100551,122200,144000,100
100552,92600,195000,100
100553,122100,195000,100
100554,106050,182500,130
100555,101000,287500,100
100556,94050,500000,110
100557,110150,360000,110
100558,67200,121000,100
100559,80600,147000,100
100560,96800,190500,100
100561,60950,150000,110
100562,102200,75000,100
100563,120650,190000,100
100564,77950,190000,100
100565,73250,250000,110
100566,46650,165000,100
100567,96450,210000,100
100568,80400,270000,100
100569,84300,140000,110
100570,92550,104000,130
100571,100950,170000,100
100572,92900,192000,100
100573,93650,125000,100
100574,92000,131500,100
100575,79250,245000,100
100576,55750,185000,100
100577,145100,265000,100
100578,65750,281915,100
100579,66050,265000,100
100580,101850,281915,100
100581,66850,565000,100
100582,125200,385000,120
100583,118850,440000,110
100584,93850,675000,130
100585,113550,209000,101
100586,48500,110000,110
100587,82900,220000,130
100588,133500,350000,100
100589,101800,235000,100
100590,74450,582000,120
100591,53000,175000,130
100592,213600,550000,100
100593,43200,650000,391
100594,68450,400000,100
100595,93400,157500,131
100596,71800,231000,130
100597,93100,250000,120
100598,79950,345000,110
100599,48550,365000,110
100600,86450,345000,110
100601,179850,365000,110
100602,34250,250000,130
100603,103750,195000,100
100604,88850,1000000,110
100605,98200,905000,110
100606,111950,175000,110
100607,97200,140000,100
100608,89500,180000,100
100609,64850,180000,101
100610,56250,180000,100
100611,84100,170000,120
100612,133500,215000,100
100613,57200,275000,111
100614,99400,350000,120
100615,90650,330000,100
100616,93850,447000,100
100617,109150,190000,100
100618,86700,199000,100
100619,85600,185000,130
100620,120500,270000,130
100621,100700,199000,100
100622,86100,250000,120
100623,163350,335000,100
100624,62200,215000,100
100625,65900,235000,120
100626,84500,260000,100
100627,87750,200000,130
100628,102750,285000,100
100629,60950,219000,100
100630,130750,167000,100
100631,82650,285000,100
100632,45350,455000,100
100633,129650,285000,100
100634,115850,270000,100
100635,31100,299500,100
100636,119500,430000,121
100637,118850,220000,111
100638,101000,190000,100
100639,70550,240000,110
100640,52900,360000,110
100641,108950,260000,100
100642,86300,135000,100
100643,115800,237500,110
100644,41500,474000,110
100645,104100,238000,101
100646,78450,200000,111
100647,133250,155500,100
100648,89100,215000,100
100649,69150,282000,130
100650,102700,288500,100
100651,92400,250000,110
100652,94750,130000,100
100653,61650,260000,100
100654,111450,330000,120
100655,166300,359850,100
100656,74150,275000,130
100657,85400,545000,100
100658,90700,325000,100
100659,147950,545000,100
100660,103400,325000,100
100661,60900,265000,100
100662,44550,250000,100
100663,40700,498500,100
100664,114700,145000,100
100665,90100,280000,110
100666,114550,315000,120
100667,58400,368000,101
100668,73200,475000,110
100669,125000,325000,100
100670,117100,242500,110
100671,117200,200000,120
100672,51400,207000,100
100673,110900,105000,101
100674,109950,105000,101
100675,104200,105000,101
100676,53650,105000,101
100677,93400,200000,100
100678,73650,275000,130
100679,76650,305000,130
100680,69200,179000,130
100681,132200,275000,130
100682,94200,305000,130
100683,92850,370000,110
100684,40650,290000,130
100685,129150,273000,120
100686,53300,252500,100
100687,87500,290000,100
100688,72600,250000,120
100689,80750,300000,130
100690,79450,378000,100
100691,98800,750000,110
100692,94400,150000,100
100693,94900,260000,100
100694,109150,390000,100
100695,90200,143000,101
100696,75900,215000,100
100697,100400,328000,100
100698,81750,295000,100
100699,101500,295000,100
100700,98450,540000,110
100701,71500,140000,101
100702,83400,285000,100
100703,117750,275000,100
100704,95850,319000,100
100705,108250,211000,130
100706,76100,410000,100
100707,80100,323600,100
100708,97950,175000,130
100709,72900,320000,110
100710,105900,275000,100
100711,5400,350000,100
100712,68800,380000,110
100713,28250,425000,100
100714,61500,625000,100
100715,117500,455000,100
100716,74300,260000,101
100717,105100,425000,110
100718,93400,2095000,101
100719,44150,170000,100
100720,128200,180000,130
100721,104550,170000,100
100722,129850,137000,100
100723,95150,264000,130
100724,44150,98000,100
100725,112850,153000,100
100726,78000,355000,100
100727,75350,245000,130
100728,79550,222500,101
100729,82500,215000,120
100730,58600,240000,120
100731,89150,310000,100
100732,73850,103000,101
100733,86150,235000,100
100734,79150,190000,100
100735,62850,155000,130
100736,93050,235000,100
100737,66050,284500,120
100738,169350,164000,101
100739,53700,150000,100
100740,74800,290000,110
100741,109100,145000,130
100742,111050,156000,100
100743,89750,260000,110
100744,77600,150000,100
100745,95500,260000,120
100746,89150,193000,101
100747,80700,176000,100
100748,9250,275000,100
100749,83750,499250,100
100750,58050,410000,101
100751,55450,570000,100
100752,159050,153000,100
100753,118550,173900,100
100754,70050,165000,111
100755,42400,110000,100
100756,243750,200000,100
100757,66050,255000,100
100758,129150,162000,101
100759,69600,348500,100
100760,162750,197307,100
100761,118750,180000,100
100762,99150,315000,100
100763,92400,325000,100
100764,69550,145000,130
100765,60450,475000,110
100766,92800,132000,100
100767,130100,149000,100
100768,170500,340000,100
100769,112450,192500,100
100770,65100,300000,100
100771,102500,230000,100
100772,107150,245000,130
100773,143550,150000,100
100774,62150,285000,100
100775,87300,285000,100
100776,89000,146000,130
100777,92600,195000,100
100778,106050,182500,130
100779,67200,121000,100
100780,120650,190000,100
100781,77950,190000,100
100782,84300,140000,110
100783,92900,192000,100
100784,93650,125000,100
100785,79250,245000,100
100786,118850,440000,110
100787,113550,209000,101
100788,82900,220000,130
100789,213600,550000,100
100790,71800,231000,130
100791,93100,250000,120
100792,34250,250000,130
100793,103750,195000,100
100794,88850,1000000,110
100795,111950,175000,110
100796,109150,190000,100
100797,85600,185000,130
100798,120500,270000,130
100799,65900,235000,120
100800,45350,455000,100
100801,31100,299500,100
100802,70550,240000,110
100803,108950,260000,100
100804,86300,135000,100
100805,78450,200000,111
100806,89100,215000,100
100807,94750,130000,100
100808,111450,330000,120
100809,74150,275000,130
100810,85400,545000,100
100811,90700,325000,100
100812,103400,325000,100
100813,60900,265000,100
100814,114700,145000,100
100815,114550,315000,120
100816,73200,475000,110
100817,117100,242500,110
100818,53650,105000,101
100819,93400,200000,100
100820,73650,275000,130
100821,132200,275000,130
100822,94200,305000,130
100823,129150,273000,120
100824,53300,252500,100
100825,72600,250000,120
100826,80750,300000,130
100827,98800,750000,110
100828,94400,150000,100
100829,90200,143000,101
100830,100400,328000,100
100831,81750,295000,100
100832,95850,319000,100
100833,80100,323600,100
100834,72900,320000,110
100835,68800,380000,110
100836,74300,260000,101
100837,105100,425000,110
100838,44150,170000,100
100839,128200,180000,130
100840,72750,145000,100
100841,107600,145000,110
100842,104550,170000,100
100843,129850,137000,100
100844,73400,259000,100
100845,90850,280000,110
100846,95150,264000,130
100847,81500,170000,100
100848,89100,95000,101
100849,37050,575000,120
100850,59250,349900,130
100851,44150,98000,100
100852,112850,153000,100
100853,78000,355000,100
100854,74100,525000,100
100855,96300,355000,100
100856,73500,525000,100
100857,75350,245000,130
100858,81250,235000,100
100859,61400,950000,110
100860,33800,210000,120
100861,79550,222500,101
100862,82500,215000,120
100863,96900,240000,120
100864,101650,150000,100
100865,58600,240000,120
100866,89150,310000,100
100867,114200,185000,101
100868,73850,103000,101
100869,89250,650000,101
100870,84650,349000,100
100871,59150,170000,120
100872,44300,159900,100
100873,83900,165000,100
100874,86150,235000,100
100875,69150,254500,130
100876,93650,420000,111
100877,119500,125000,130
100878,79150,190000,100
100879,62850,155000,130
100880,93050,235000,100
100881,42150,500000,130
100882,66050,284500,120
100883,169350,164000,101
100884,46000,875000,100
100885,53150,125000,100
100886,69400,325000,100
100887,71950,275000,100
100888,57250,117000,100
100889,77750,125000,101
100890,53700,150000,100
100891,74800,290000,110
100892,49000,149900,101
100893,91000,273500,120
100894,104550,309534,110
100895,109100,145000,130
100896,111050,156000,100
100897,136450,600000,100
100898,89750,260000,110
100899,77600,150000,100
100900,95500,260000,120
100901,89150,193000,101
100902,101050,537500,100
100903,80700,176000,100
100904,76000,300000,100
100905,93100,185000,100
100906,9250,275000,100
100907,39650,1290000,110
100908,87900,161000,100
100909,83750,499250,100
100910,58050,410000,101
100911,78100,350000,110
100912,129200,200000,130
100913,55450,570000,100
100914,159050,153000,100
100915,118550,173900,100
100916,47650,222000,100
100917,77350,210000,100
100918,105950,135000,130
100919,70050,165000,111
100920,42400,110000,100
100921,86300,290000,100
100922,243750,200000,100
100923,90850,400000,110
100924,89800,229500,100
100925,66050,255000,100
100926,129150,162000,101
100927,164850,260000,130
100928,69600,348500,100
100929,79500,1060000,101
100930,61850,200000,130
100931,102950,258000,100
100932,72400,220000,100
100933,85500,565000,120
100934,162750,197307,100
100935,55150,160000,120
100936,118750,180000,100
100937,97200,300000,110
100938,99150,315000,100
100939,92400,325000,100
100940,88100,220000,100
100941,69550,145000,130
100942,60450,475000,110
100943,101550,299000,101
100944,92800,132000,100
100945,130100,149000,100
100946,170500,340000,100
100947,70600,443000,100
100948,92400,150876,100
100949,112450,192500,100
100950,66700,185000,100
100951,82250,235000,130
100952,97450,190000,130
100953,122300,355000,100
100954,105000,265000,100
100955,60200,185000,111
100956,65100,300000,100
100957,102500,230000,100
100958,127250,106300,130
100959,107150,245000,130
100960,143550,150000,100
100961,84500,258000,100
100962,62150,285000,100
100963,123150,330000,100
100964,104900,535000,100
100965,87300,285000,100
100966,89000,146000,130
100967,120950,395000,110
100968,73300,650000,110
100969,51450,350000,100
100970,122200,144000,100
100971,92600,195000,100
100972,122100,195000,100
100973,106050,182500,130
100974,101000,287500,100
100975,94050,500000,110
100976,110150,360000,110
100977,67200,121000,100
100978,80600,147000,100
100979,96800,190500,100
100980,60950,150000,110
100981,102200,75000,100
100982,120650,190000,100
100983,77950,190000,100
100984,73250,250000,110
100985,46650,165000,100
100986,96450,210000,100
100987,80400,270000,100
100988,84300,140000,110
100989,92550,104000,130
100990,100950,170000,100
100991,92900,192000,100
100992,93650,125000,100
100993,92000,131500,100
100994,79250,245000,100
100995,55750,185000,100
100996,145100,265000,100
100997,65750,281915,100
100998,66050,265000,100
100999,101850,281915,100
101000,66850,565000,100
101001,125200,385000,120
101002,118850,440000,110
101003,93850,675000,130
101004,113550,209000,101
101005,48500,110000,110
101006,82900,220000,130
101007,133500,350000,100
101008,101800,235000,100
101009,74450,582000,120
101010,53000,175000,130
101011,213600,550000,100
101012,43200,650000,391
101013,68450,400000,100
101014,93400,157500,131
101015,71800,231000,130
101016,93100,250000,120
101017,79950,345000,110
101018,48550,365000,110
101019,86450,345000,110
101020,179850,365000,110
101021,34250,250000,130
101022,103750,195000,100
101023,88850,1000000,110
101024,98200,905000,110
101025,111950,175000,110
101026,97200,140000,100
101027,89500,180000,100
101028,64850,180000,101
101029,56250,180000,100
101030,84100,170000,120
101031,133500,215000,100
101032,57200,275000,111
101033,99400,350000,120
101034,90650,330000,100
101035,93850,447000,100
101036,109150,190000,100
101037,86700,199000,100
101038,85600,185000,130
101039,120500,270000,130
101040,100700,199000,100
101041,86100,250000,120
101042,163350,335000,100
101043,62200,215000,100
101044,65900,235000,120
101045,84500,260000,100
101046,87750,200000,130
101047,102750,285000,100
101048,60950,219000,100
101049,130750,167000,100
101050,82650,285000,100
101051,45350,455000,100
101052,129650,285000,100
101053,115850,270000,100
101054,31100,299500,100
101055,119500,430000,121
101056,118850,220000,111
101057,101000,190000,100
101058,70550,240000,110
101059,52900,360000,110
101060,108950,260000,100
101061,86300,135000,100
101062,115800,237500,110
101063,41500,474000,110
101064,104100,238000,101
101065,78450,200000,111
101066,133250,155500,100
101067,89100,215000,100
101068,69150,282000,130
101069,102700,288500,100
101070,92400,250000,110
101071,94750,130000,100
101072,61650,260000,100
101073,111450,330000,120
101074,166300,359850,100
101075,74150,275000,130
101076,85400,545000,100
101077,90700,325000,100
101078,147950,545000,100
101079,103400,325000,100
101080,60900,265000,100
101081,44550,250000,100
101082,40700,498500,100
101083,114700,145000,100
101084,90100,280000,110
101085,114550,315000,120
101086,58400,368000,101
101087,73200,475000,110
101088,125000,325000,100
101089,117100,242500,110
101090,117200,200000,120
101091,51400,207000,100
101092,110900,105000,101
101093,109950,105000,101
101094,104200,105000,101
101095,53650,105000,101
101096,93400,200000,100
101097,73650,275000,130
101098,76650,305000,130
101099,69200,179000,130
101100,132200,275000,130
101101,94200,305000,130
101102,92850,370000,110
101103,40650,290000,130
101104,129150,273000,120
101105,53300,252500,100
101106,87500,290000,100
101107,72600,250000,120
101108,80750,300000,130
101109,79450,378000,100
101110,98800,750000,110
101111,94400,150000,100
101112,94900,260000,100
101113,109150,390000,100
101114,90200,143000,101
101115,75900,215000,100
101116,100400,328000,100
101117,81750,295000,100
101118,101500,295000,100
101119,98450,540000,110
101120,71500,140000,101
101121,83400,285000,100
101122,117750,275000,100
101123,95850,319000,100
101124,108250,211000,130
101125,76100,410000,100
101126,80100,323600,100
101127,97950,175000,130
101128,72900,320000,110
101129,105900,275000,100
101130,5400,350000,100
101131,68800,380000,110
101132,28250,425000,100
101133,61500,625000,100
101134,117500,455000,100
101135,74300,260000,101
101136,105100,425000,110
101137,93400,2095000,101
101138,44150,170000,100
101139,128200,180000,130
101140,104550,170000,100
101141,129850,137000,100
101142,95150,264000,130
101143,44150,98000,100
101144,112850,153000,100
101145,78000,355000,100
101146,75350,245000,130
101147,79550,222500,101
101148,82500,215000,120
101149,58600,240000,120
101150,89150,310000,100
101151,73850,103000,101
101152,86150,235000,100
101153,79150,190000,100
101154,62850,155000,130
101155,93050,235000,100
101156,66050,284500,120
101157,169350,164000,101
101158,53700,150000,100
101159,74800,290000,110
101160,109100,145000,130
101161,111050,156000,100
101162,89750,260000,110
101163,77600,150000,100
101164,95500,260000,120
101165,89150,193000,101
101166,80700,176000,100
101167,9250,275000,100
101168,83750,499250,100
101169,58050,410000,101
101170,55450,570000,100
101171,159050,153000,100
101172,118550,173900,100
101173,70050,165000,111
101174,42400,110000,100
101175,243750,200000,100
101176,66050,255000,100
101177,129150,162000,101
101178,69600,348500,100
101179,162750,197307,100
101180,118750,180000,100
101181,99150,315000,100
101182,92400,325000,100
101183,69550,145000,130
101184,60450,475000,110
101185,92800,132000,100
101186,130100,149000,100
101187,170500,340000,100
101188,112450,192500,100
101189,65100,300000,100
101190,102500,230000,100
101191,107150,245000,130
101192,143550,150000,100
101193,62150,285000,100
101194,87300,285000,100
101195,89000,146000,130
101196,92600,195000,100
101197,106050,182500,130
101198,67200,121000,100
101199,120650,190000,100
101200,77950,190000,100
101201,84300,140000,110
101202,92900,192000,100
101203,93650,125000,100
101204,79250,245000,100
101205,118850,440000,110
101206,113550,209000,101
101207,82900,220000,130
101208,213600,550000,100
101209,71800,231000,130
101210,93100,250000,120
101211,34250,250000,130
101212,103750,195000,100
101213,88850,1000000,110
101214,111950,175000,110
101215,109150,190000,100
101216,85600,185000,130
101217,120500,270000,130
101218,65900,235000,120
101219,45350,455000,100
101220,31100,299500,100
101221,70550,240000,110
101222,108950,260000,100
101223,86300,135000,100
101224,78450,200000,111
101225,89100,215000,100
101226,94750,130000,100
101227,111450,330000,120
101228,74150,275000,130
101229,85400,545000,100
101230,90700,325000,100
101231,103400,325000,100
101232,60900,265000,100
101233,114700,145000,100
101234,114550,315000,120
101235,73200,475000,110
101236,117100,242500,110
101237,53650,105000,101
101238,93400,200000,100
101239,73650,275000,130
101240,132200,275000,130
101241,94200,305000,130
101242,129150,273000,120
101243,53300,252500,100
101244,72600,250000,120
101245,80750,300000,130
101246,98800,750000,110
101247,94400,150000,100
101248,90200,143000,101
101249,100400,328000,100
101250,81750,295000,100
101251,95850,319000,100
101252,80100,323600,100
101253,72900,320000,110
101254,68800,380000,110
101255,74300,260000,101
101256,105100,425000,110
101257,44150,170000,100
101258,128200,180000,130
101259,72750,145000,100
101260,107600,145000,110
101261,104550,170000,100
101262,129850,137000,100
101263,73400,259000,100
101264,90850,280000,110
101265,95150,264000,130
101266,81500,170000,100
